Num;alim_nom_fr;alim_nom_sci;alim_grp_code;alim_grp_nom_fr;alim_ssgrp_code;alim_ssgrp_nom_fr;alim_ssssgrp_code;alim_ssssgrp_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 625 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g)
416;Jambon sec de Parme;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;1040;248;1040;248;52,2;27,2;27,2;0,3;15,4;0,3;-;-;-;-;-;-;-;0;0;5,83;0;traces;5,42;7,69;1,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,53;16;-;-;0,7;-;-;-;-;-;-;2180;-;-;-;-;-;-;-;13;-;-;-;-
417;Jambon sec, découenné, dégraissé;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;804;192;804;192;56,2;26,3;26,3;0,3;9,5;0,3;-;-;-;-;-;-;-;0;0;6,32;0;traces;3,47;4,55;1,03;-;-;-;-;0,015;0,18;3,05;-;4,55;-;-;-;-;-;66,4;6,09;-;3280;-;1,4;1,2;-;-;230;-;-;2410;-;-;-;-;-;-;-;-;1,2;0,3;8,7;-
418;Jambon sec;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;961;230;961;230;53,2;28,7;28,7;0,48;12,6;0,33;< 0,3;-;< 0,3;< 0,3;< 0,3;< 0,3;-;traces;0;7,33;0;traces;4,99;5,87;1,12;-;-;-;-;-;-;-;-;-;1,08;0,039;-;-;-;-;5,7;-;-;-;-;-;-;-;-;-;-;2250;-;-;-;-;-;-;-;-;-;-;-;-
419;Jambon de Bayonne;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;953;228;953;228;48,6;28;28;0,63;12,6;0,5;< 0,3;-;< 0,3;-;< 0,3;< 0,3;-;traces;0;6,3;0;traces;4,93;5,79;1,31;-;-;-;-;0,01;0,2;3,57;-;5,79;1,17;0,076;0,065;0,0014;0;-;5,75;-;2720;-;-;-;-;-;-;554;-;2270;-;-;-;-;-;-;-;13;-;-;-;-
420;Jambon sec Serrano;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;985;235;985;235;54,1;30,4;30,4;0,76;12,3;0,36;< 0,3;-;< 0,3;-;< 0,3;< 0,3;-;traces;0;5,02;0;traces;5,2;5,29;1,27;-;-;-;-;-;-;-;-;-;1,21;0,065;-;-;-;-;5,02;-;-;-;-;-;-;-;-;-;-;1990;-;-;-;-;-;-;-;-;-;-;-;-
421;Coppa;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;1180;284;1180;284;-;25;25;1;20;0,5;-;-;-;-;-;-;-;0;0;4,5;0;traces;6,83;5,92;-;-;-;-;0,014;0,014;0,2;3,46;1,94;5,92;1,61;0,063;0,057;-;-;-;4,5;-;-;-;-;12;-;-;-;-;-;1800;-;-;-;-;-;-;-;-;-;-;-;-
422;Jambon cru, fumé, allégé en matière grasse;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;598;142;598;142;63,9;27,7;27,7;0,1;3,4;-;-;-;-;-;-;-;-;0;0;5,4;0;traces;0,71;1,21;0,4;-;-;-;-;0;0,03;0,49;-;0,94;0,29;0,02;0,04;0;0;-;4,24;-;-;-;-;-;-;-;-;-;-;1700;-;-;-;-;-;-;-;-;-;-;-;-
423;Jambon cru;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;939;225;939;225;50,1;25,9;25,9;0,76;13,2;0,75;< 0,3;-;< 0,3;-;< 0,3;< 0,3;0;traces;0;6,57;0;traces;5,09;6,07;1,57;-;-;-;0,017;0,01;0,15;2,63;2,28;5,05;1,24;0,1;0,059;0,001;0,004;72,2;5,67;10,4;3210;0,079;0,97;1,2;36,2;0,012;228;591;5,66;2250;2,37;-;0;0,6;0,21;-;-;13;0,89;0,21;8,1;-
424;Jambon bio, cru, fumé;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;1020;246;1020;246;55,8;24,2;24,2;0,98;16,1;0,53;< 0,15;-;< 0,15;0;< 0,15;< 0,15;-;0;0;5,74;0;traces;6,72;7,12;1,8;-;-;-;0,008;0,015;0,2;3,46;1,03;5,95;1,44;0,11;0,064;0;0,0025;88;5,17;5,16;-;< 0,1;0,9;< 5;20;< 0,1;275;256;24,2;2050;0,28;0;-;< 0,5;0,03;0;-;0;0,41;0,19;3,4;0,6
425;Pancetta ou Poitrine roulée sèche;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040302;jambons secs et crus;1420;342;1420;342;43,9;20,2;20,2;0,75;28,8;0,43;< 0,2;-;< 0,2;< 0,2;< 0,2;< 0,2;-;0;0;4,7;0;traces;12,5;11,7;3,17;< 0,01;< 0,01;< 0,01;0,028;0,028;0,43;7,67;4,36;11,7;2,95;0,15;0,066;< 0,01;< 0,01;75,2;4,14;6,2;2190;0,06;0,71;< 20;18;0,05;160;370;< 20;1650;2,5;< 21;-;0,66;0,94;< 0,8;-;14,3;0,51;0,12;4,54;0,84
426;Saucisson sec aux noix et/ou noisettes;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040303;saucisson secs;1980;477;1980;477;-;27,7;27,7;1,78;39,7;1,04;-;-;-;-;-;-;-;0,75;0;5,24;0;traces;14,1;15,4;8,35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,31;-;-;-;-;-;-;-;-;-;-;1660;-;-;-;-;-;-;-;-;-;-;-;-
427;Saucisson sec pur porc, qualité supérieure;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040303;saucisson secs;1520;366;1520;366;36,9;27,7;27,7;1,65;27,6;1,65;-;-;-;-;-;-;-;< 0,5;0;5,45;0;traces;10,9;12,6;3,18;-;-;-;0,02;0,02;0,36;6,59;3,72;-;2,54;0,2;-;-;-;100;4,22;< 20;-;0,3;1,6;-;29,5;< 0,2;260;510;5;1790;3,5;-;-;0,45;0,74;-;-;5;0,7;-;8,2;-
428;Rosette ou Fuseau;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040303;saucisson secs;1580;380;1580;380;34,9;24,2;24,2;1,79;30,7;1,46;-;-;-;-;-;-;-;traces;0;5,43;0;traces;11,8;13,7;3,74;-;-;-;0,033;0,029;0,4;7;4,18;12,7;3;0,17;0,065;-;-;97,7;4,56;44;2850;0,3;1,2;36,2;40,3;< 0,1;205;488;7;1790;2,9;< 2;-;1,11;0,35;-;-;2,3;0,68;0,22;6,87;1,21
429;Saucisson sec pur porc;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040303;saucisson secs;1730;417;1730;417;32,8;28,7;28,7;1,79;32,3;1,4;< 0,1;0,12;0,13;1,15;< 0,1;< 0,1;0;0;0;5,89;0;1,5;12,2;14,6;4,06;< 0,01;< 0,01;< 0,01;0,02;0,03;0,42;7,38;4,15;11,8;3,42;0,27;0,07;< 0,01;< 0,01;99,3;4,46;15,8;2990;0,4;1,68;4,1;26,7;< 0,2;243;525;11,8;1780;3,6;-;-;0,55;0,58;-;-;5;0,6;0,3;8,64;-
430;Saucisse sèche;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040303;saucisson secs;1870;451;1870;451;26,2;27,3;27,3;1,7;37,1;1,21;-;-;-;-;-;-;-;0,59;0;4,74;0;traces;14,5;16,4;4,51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,74;-;-;-;-;7;-;-;-;-;-;1900;-;-;-;-;-;-;-;-;-;-;-;-
431;Saucisson sec;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040303;saucisson secs;1730;418;1730;418;30;24,2;24,2;2,41;34,5;1,2;-;-;-;-;-;-;1,22;0,73;0;6,46;0;traces;11,3;14,2;3,73;-;-;-;0,03;0,023;0,37;6,68;4,18;13,7;3,04;0,21;0,098;0,0078;0,016;99,4;4,75;14,4;3000;0,099;1,27;7;32;0,12;237;583;< 10;1900;2,7;traces;0;0,5;0,16;-;-;5;0,62;0,37;8,55;-
432;Saucisse de Morteau, bouillie/cuite à l'eau;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;1340;323;1340;323;49,6;15,2;15,2;0;29,1;0;-;-;-;-;-;-;< 1;traces;0;2,64;0;traces;12,2;11,9;3,66;< 0,03;< 0,03;< 0,03;0,028;0,042;0,46;6,83;3,75;11,9;3,33;0,25;0,08;-;-;77,3;2,02;8,4;-;< 0,1;0,8;9;15;< 0,1;126;230;7;809;1,9;11;< 30;< 0,5;0,13;-;-;< 1;0,41;0,15;3,75;0,61
433;Saucisse viennoise, crue;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;-;-;-;-;56,8;10,3;10,3;-;21,3;-;-;-;-;-;-;-;-;traces;0;-;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
434;Saucisse de Francfort;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;1120;271;1120;271;56,7;13,7;13,7;1,24;23,4;1;< 0,3;-;0,28;< 0,3;< 0,3;< 0,3;0,24;< 0,5;0;2,55;0;traces;9;10,4;2,91;-;-;0,019;0,023;0,026;0,33;5,68;2,92;10,1;2,62;0,21;0,076;-;-;73,1;2;16,5;-;0,18;0,91;14;11,9;< 0,2;152;164;5,48;790;1,4;traces;-;0,26;0,1;-;-;-;0,29;0,2;2,47;-
435;Merguez, pur boeuf, crue;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;-;-;-;-;39,8;11;11;-;43,5;-;-;-;-;-;-;-;-;0;0;-;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
436;Saucisse de volaille, type Knack;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;978;236;978;236;64;14;14;1,82;18,9;1,01;< 0,1;< 0,1;0,45;0,56;< 0,1;< 0,1;0;0;0;2,42;0;0,76;5,34;8,69;3,97;< 0,01;< 0,01;< 0,01;0,01;0,19;0,21;3,93;0,95;7,27;3,42;0,44;0,03;< 0,01;< 0,01;-;1,87;-;-;-;-;-;-;-;-;-;-;746;-;-;-;-;-;-;-;-;-;-;-;-
437;Saucisse de volaille, façon charcutière;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;960;231;960;231;59,8;16,8;16,8;1,19;17,7;0,9;-;-;-;-;-;-;-;traces;0;1,76;0;traces;6,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,75;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
438;Saucisse de Toulouse, cuite;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;1140;274;1140;274;54,9;18,8;18,8;0;22,1;0;-;-;-;-;-;-;< 1;0;0;2,9;0;traces;8,2;9,94;2,96;< 0,021;< 0,021;< 0,021;0,025;0,032;0,33;4,83;2,82;9,31;2,45;0,18;0,13;0,042;0,052;88,5;1,71;11,5;-;< 0,1;0,9;8;18,2;< 0,1;141;650;9;686;2,2;14;< 30;< 0,5;0,35;-;-;< 1;0,41;0,22;4,4;0,56
439;Saucisse de Toulouse, crue;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;1350;327;1350;327;56,2;13,2;13,2;1;30;1;-;-;-;0;-;-;-;traces;0;2,64;0;traces;11,3;13,2;3,7;-;-;-;0,00096;0,017;0,34;6,04;3,34;8,6;2,95;0,24;0,15;0,042;0,052;65,9;1,89;28,9;-;0,069;0,9;7;21,7;0,023;137;-;11,2;747;2,22;-;-;-;-;-;-;-;-;-;-;-
440;Saucisse de Strasbourg ou Knack;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;1200;291;1200;291;57,9;12,4;12,4;1,39;25,9;1,06;< 0,3;-;0,93;-;< 0,3;0,13;-;1,37;0;2,73;0;traces;10,9;10,8;3,01;< 0,05;< 0,05;0,02;0,025;0,028;0,35;6,06;3,11;10,8;2,75;0,22;0,017;0,0013;0,0027;73,1;2,21;23,7;1140;0,065;1,12;7;13,4;0,015;152;204;< 10;942;1,13;-;0;0,26;0,38;-;-;9,4;0,29;0,2;2,47;-
441;Saucisse fumée, à cuire;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040304;saucisses et assimilés;-;-;-;-;49,5;16,8;16,8;-;30,7;0;< 0,3;-;< 0,3;-;< 0,3;< 0,3;-;traces;0;2,52;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,89;-;1430;-;-;-;-;-;-;-;-;755;-;-;-;-;-;-;-;-;-;-;-;-
442;Terrine de canard;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1330;320;1330;320;50,7;13,2;13,2;4,44;27,1;1,3;-;-;-;-;-;-;-;1,75;0;2,09;0;0,74;9,91;12,4;3,49;< 0,01;< 0,01;0,04;0,05;0,06;0,4;6,3;2,93;11;2,81;0,25;0,16;< 0,01;0,03;161;1,39;23;900;0,62;5,2;< 20;16;0,16;170;210;40;554;2,6;4350;0;0,75;0,89;1,43;-;12,9;0,17;0,41;7,97;2,49
443;Terrine de lapin;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1170;281;1170;281;53,8;16,5;16,5;5,67;21,2;0,95;-;-;-;-;-;-;-;1;0;1,84;0;0;7,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,84;-;1100;-;-;-;-;-;-;-;-;738;-;-;-;-;-;-;-;-;-;-;-;-
444;Mousse de foie de porc;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1190;287;1190;287;56,5;12;12;3,39;24,9;1,89;< 0,3;-;1,2;-;< 0,3;< 0,3;1,26;0,75;0;2,53;0;0;9,34;11,3;3,17;-;-;-;0,03;0,03;0,32;5,46;3,49;9,44;2,5;0,21;0,16;0,0011;0,0044;132;1,72;18,5;-;0,42;4,02;-;11,7;< 0,2;148;180;16,9;680;2,36;2750;-;0,26;0,41;-;-;-;0,11;-;5,11;-
445;Mousse de canard;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1630;395;1630;395;44,4;10,1;10,1;7,07;36,1;2,05;< 0,3;-;0,53;0,6;< 0,3;0,65;-;0,45;0;1,87;0;0;13,7;13,1;6,18;-;-;-;-;-;-;-;-;-;5,67;0,37;-;-;-;-;1,58;-;-;-;-;-;-;-;-;-;-;627;-;-;-;-;-;-;-;-;-;-;-;-
446;Pâté ou terrine de campagne;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1340;323;1340;323;52,2;15,5;15,5;1,5;28,2;0,62;< 0,1;< 0,1;0,28;0,25;< 0,1;0,093;0,88;0;0;2,18;0;0,42;10,4;12,5;3,89;< 0,01;< 0,01;< 0,01;0,02;0,03;0,37;6,33;3,49;10,7;2,96;0,39;0,18;0,01;0,02;148;1,54;12,3;-;0,92;6,1;10;15,4;0,15;185;212;17,2;617;3,13;-;0;0,2;0,38;-;-;5,9;0,14;0,8;6,8;-
447;Mousse de foie de porc supérieure ou Crème de foie;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1340;322;1340;322;49,8;11,1;11,1;10,3;26,1;2,18;-;-;-;-;-;-;-;0,72;0;1,99;0;0;10,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,99;-;-;-;-;-;-;-;-;-;-;790;-;-;-;-;-;-;-;-;-;-;-;-
448;Pâté au jambon;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;-;-;-;-;56,6;15,2;15,2;-;28,6;0,52;-;-;-;-;-;-;-;traces;0;0,22;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,18;18;-;-;-;-;26;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-
449;Pâté (aliment moyen);;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1350;325;1350;325;51,2;13,6;13,6;4,61;27,9;1,23;0,07;;0,31;0,29;0,14;0,18;3,75;0,29;0;2,09;0;0,23;10,4;11,9;3,84;0,05;0,032;0,022;0,039;0,044;0,4;6,03;3,35;10,2;3,06;0,34;0,16;0,01;0,016;145;1,58;14;;0,68;5,58;15,1;15,3;0,15;173;193;18,6;627;2,74;;0;0,17;0,58;;;9,08;0,15;0,81;6,07;
450;Pâté au poivre vert;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1480;358;1480;358;48,1;10,1;10,1;1,45;34,6;-;-;-;-;-;-;-;-;traces;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
451;Pâté breton;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040305;pâtés et terrines;1500;363;1500;363;50;11;11;2,88;34;1;-;-;-;-;-;-;-;0,5;0;1,67;0;0;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,67;-;-;-;-;-;-;-;-;-;-;669;-;-;-;-;-;-;-;-;-;-;-;-
452;Rillettes traditionnelles de porc;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1610;390;1610;390;46,3;14,3;14,3;0,2;36,9;-;-;-;-;-;-;-;-;traces;0;1,75;0;0;14,6;16,4;4,87;< 0,05;< 0,05;< 0,05;0,036;0,036;0,54;8,91;4,96;-;-;0,32;-;-;-;76,2;1,6;-;-;-;1;-;-;-;148;-;-;1600;-;-;-;-;-;-;-;-;-;-;-;-
453;Rillettes pur porc;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1710;414;1710;414;44;16,7;16,7;0,13;38,3;< 0,2;< 0,2;-;< 0,2;< 0,2;< 0,2;< 0,2;< 0,35;< 0,5;0;1,61;0;0,37;15,2;16,4;4,87;< 0,01;< 0,01;< 0,01;0,03;0,04;0,52;9,12;5,28;14;4,03;0,31;0,09;< 0,01;0,02;84,1;0,97;6,9;604;0,06;0,91;< 20;15;0,03;130;240;< 20;389;2,3;26,9;< 5;0,48;1,13;0,99;-;< 0,5;0,069;0,045;3,32;0,59
454;Rillettes pur oie;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1720;417;1720;417;-;14,7;14,7;traces;39,8;-;-;-;-;-;-;-;-;traces;0;1,3;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
455;Rillettes du Mans;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1740;420;1740;420;40;15,6;15,6;4,7;37,6;0,13;-;-;-;-;-;-;-;0,21;0;1,89;0;0;14,8;16,3;4,29;-;-;-;-;-;-;-;-;-;3,66;0,3;-;-;-;-;1,28;-;810;-;-;-;-;-;-;-;-;504;-;-;-;-;-;-;-;-;-;-;-;-
456;Rillettes d'oie;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1510;364;1510;364;48,9;14,9;14,9;0,99;33,4;-;-;-;-;-;-;-;-;traces;0;1,77;0;0;9,82;17,5;4,46;< 0,01;< 0,01;< 0,01;< 0,01;0,02;0,18;7,23;2,29;15,8;3,9;0,32;0,09;< 0,01;< 0,01;101;1,29;10;751;0,11;1;< 20;13;0,07;110;200;< 20;516;1,6;37;-;2,53;< 0,08;< 0,8;-;19,3;0,025;0,058;2,97;0,4
457;Rillettes de Tours;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;2160;522;2160;522;-;18;18;traces;50;-;-;-;-;-;-;-;-;traces;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
458;Rillettes de poulet;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1410;340;1410;340;52,2;16,4;16,4;0,49;30,3;0,36;-;-;-;-;-;-;-;0,25;0;1,97;0;0;10,7;14,4;4,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,19;-;-;-;-;-;-;-;-;-;-;470;-;-;-;-;-;-;-;-;-;-;-;-
459;Rillettes de canard;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040306;rillettes;1560;377;1560;377;47,3;15,3;15,3;1,03;34,6;traces;-;-;-;-;-;-;-;traces;0;1,82;0;0;11,2;16,8;4,9;< 0,01;< 0,01;< 0,01;< 0,01;0,02;0,27;8,04;2,72;15;4,23;0,31;0,1;< 0,01;0,02;131;1,25;140;742;0,1;1,6;< 20;19;0,08;200;210;< 20;500;2,5;27,5;-;< 0,25;0,6;85,4;-;106;< 0,015;0,069;3,05;0,69
460;Quenelle de poisson, cuite;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;-;-;-;-;65,4;5,72;5,72;-;13,1;-;-;-;-;-;-;-;-;-;0;1,25;0;0;6,03;3,48;2,92;0,063;0,037;0,031;0,073;0,12;0,42;4,24;1,05;3,48;1,13;0,092;0,037;0,015;0,031;24,9;0,8;27,7;-;0,08;0,71;12,6;11,8;0,12;215;145;7,54;734;0,57;36;-;0,69;1,26;-;-;-;0,047;0,076;0,45;0,37
461;Quenelle nature, crue;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;904;217;904;217;-;7,68;7,68;14,8;13,7;2,15;< 0,3;-;< 0,29;-;0,71;< 0,29;-;2,15;0;1,31;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,04;-;-;-;-;-;-;-;-;-;-;410;-;-;-;-;-;-;-;-;-;-;-;-
462;Quenelle de volaille, en sauce;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;574;138;574;138;-;3,55;3,55;10,3;8,92;1,92;-;-;-;-;-;-;-;1,2;0;1,1;0;0;4,95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,1;-;-;-;-;-;-;-;-;-;-;432;-;-;-;-;-;-;-;-;-;-;-;-
463;Quenelle de volaille, crue;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;780;187;780;187;-;9,3;9,3;14,1;10,1;1,2;-;-;-;-;-;-;-;1,1;0;0,74;0;0;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,74;-;-;-;-;-;-;-;-;-;-;295;-;-;-;-;-;-;-;-;-;-;-;-
464;Quenelle de poisson, en sauce;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;564;135;564;135;-;3,79;3,79;10,5;8,51;0,97;< 0,3;-;< 0,3;-;0,23;< 0,3;-;0,72;0;1,4;0;0;3,95;3,6;0,56;-;-;-;-;-;-;-;-;-;0,52;0,048;-;-;-;-;1,11;-;-;-;-;-;-;-;-;-;-;433;-;-;-;-;-;-;-;-;-;-;-;-
465;Quenelle de veau, en sauce;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;688;165;688;165;68,8;3,52;3,52;15,6;9,5;0,94;-;-;-;-;-;-;-;1,39;0;1,17;0;0;4,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,17;-;-;-;-;-;-;-;-;-;-;457;-;-;-;-;-;-;-;-;-;-;-;-
466;Quenelle de poisson, crue;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040307;quenelles;1030;245;1030;245;52,3;8,1;8,1;23,6;12,7;1,9;< 0,3;-;< 0,3;-;0,58;0,27;-;2,15;0;1,2;0;0;8,2;2,92;0,99;0,12;0,085;0,054;0,13;0,16;0,51;2,21;0,63;-;0,75;0,24;< 0,012;< 0,012;< 0,012;50,1;0,95;27,7;-;0,09;0,84;-;11,9;0,13;71,1;98,8;-;370;0,82;-;-;-;-;-;-;-;-;-;-;-
467;Foie gras, canard, entier, cuit;;04;viandes, œufs, poissons et assimilés;0403;charcuteries et assimilés;040308;autres spécialités charcutières;2200;535;2200;535;35,1;8,41;8,41;2,32;54,6;1,71;< 0,3;-;0,52;< 0,3;< 0,3;0,17;-;0,35;0;1,53;0;traces;23;29,6;0,86;-;-;-;-;-;-;-;-;-;0,61;0,06;-;-;-;1040;1,11;5,68;-;0,91;4,13;-;9,33;0,11;-;135;12,3;440;1,19;5400;-;0,2;-;-;-;31;-;-;-;-
